"model","log_marginal","post_prob"
"int12_3",340.629329478801,0.999485601989908
"int12",333.057330755689,0.00051439801008391
"int12_4",307.954492779075,6.44577685258106e-15
"int123_4",305.796987570275,7.45216838938685e-16
"int124_3",305.451710529351,5.27631537304587e-16
"full",248.0087333123,5.9588536137895e-41
"int23_1",219.380813329003,2.19894840537139e-53
"main",217.201554234533,2.48756730520142e-54
"int13_2",216.14248005233,8.62630415482468e-55
"int34",211.380542846175,7.37465511951383e-57
"int23",211.001983797425,5.05051434667108e-57
"int14",210.765967622631,3.98873410694371e-57
"int24",210.120258413263,2.09125571214283e-57
"int13",207.627493291347,1.72907170163148e-58
"int14_2",200.765413980608,1.80988017980876e-61
"int24_1",199.737745123389,6.47647823169544e-62
"int234_1",189.482114595925,2.27706361410142e-66
"int134_2",189.441636898805,2.18673382671411e-66
"x1",88.6136308254667,3.5542605743319e-110
"x2",78.9471859263261,2.25250407249615e-114
"int14_3",76.9345006533237,3.01000680176158e-115
"int34_1",73.4329044230189,9.0749356948872e-117
"int23_4",73.1748553120745,7.01090772879268e-117
"int34_2",72.4974268859511,3.56099057333175e-117
"int13_4",72.1258879257339,2.4559159733101e-117
"int24_3",71.8203488812022,1.80933749307104e-117
"x3",47.6072381440957,5.51949316519684e-128
"null",43.2491393768505,7.06644452177045e-130
"x4",34.1758787315691,8.10464361821508e-134
