"model","log_marginal","post_prob"
"int12_3",71.9243560883744,0.998887423426861
"int12_4",64.5672488616086,0.000637331631852799
"int12",64.273716607212,0.000475210508122339
"main",54.2381428763865,2.08205281231911e-08
"int23_1",53.0647967172206,6.44041687295623e-09
"int13_2",52.8592840813402,5.24397938097258e-09
"int14_2",51.1908954787832,9.88755726173938e-10
"int24_1",51.0995085226776,9.02402232127164e-10
"int34",46.9035525802613,1.35868771554251e-11
"int23",45.9979970287776,5.49340817816233e-12
"int24",45.979720472212,5.39391951728062e-12
"int14",45.9443130550907,5.20627634247338e-12
"int13",45.7908968145124,4.46580123483356e-12
"x2",45.0941484166733,2.22487391874845e-12
"x1",43.5328549371637,4.66921919497904e-13
"int124_3",42.8661157017986,2.39708310770471e-13
"int123_4",38.6486087594419,3.53218221101024e-15
"null",35.5155821959328,1.53952572700705e-16
"x3",30.5047420758218,1.02614028291997e-18
"int34_2",28.8083946141004,1.88144875920364e-19
"x4",27.9148973648674,7.69930404053026e-20
"int24_3",27.4887023674935,5.02756083507618e-20
"int23_4",26.3772047922225,1.65439828348003e-20
"int234_1",25.0979944450774,4.60347804083422e-21
"int34_1",23.8772155333312,1.35802739486995e-21
"int14_3",23.7759670296621,1.22726080507663e-21
"int13_4",22.8890031808565,5.05514199660448e-22
"int134_2",22.5421214508289,3.57342390205466e-22
"full",-11.4045961854425,6.45970060675463e-37
