"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"x2",121.014098095635,5.12858941220232e-111,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"x3",114.504787177902,7.63906347790771e-114,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"null",111.508386948996,3.81698131416665e-115,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int34_2",109.598674418571,5.65382575559338e-116,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int23_4",108.991136052262,3.07958261929755e-116,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int24_3",108.436030854292,1.76771698778013e-116,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"x4",102.409983746954,4.26907445408181e-119,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int12_3",319.115959599581,0.999920195590243,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int12",309.680107612247,7.98044097565618e-05,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int123_4",283.634331319451,3.89484311589999e-16,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int124_3",281.142464210665,3.2231894585216e-17,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int12_4",248.509559803318,2.167681750947e-31,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"main",238.00308306717,5.93049099331584e-36,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int13_2",237.624548466105,4.06158140630183e-36,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int23_1",237.072898048004,2.3394643399538e-36,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int34",231.491636964233,8.81465946528272e-39,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int24",228.726456783401,5.55012858516374e-40,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int13",228.670406401193,5.24759939419238e-40,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int14",228.593548366678,4.85938885140277e-40,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int23",228.14854713465,3.1140105061083e-40,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"full",222.332026582804,9.27336371787982e-43,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int134_2",204.070845514012,1.08769497638373e-50,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int234_1",203.333860924465,5.20521631346541e-51,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int24_1",182.487973660237,4.60452645995007e-60,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int14_2",182.09736223886,3.11562075390451e-60,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int34_1",106.250580980941,3.57854116735758e-93,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int13_4",104.432728272662,5.81062191281307e-94,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int14_3",104.217632524389,4.68605866237887e-94,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"x1",92.8076363930518,5.19408870932594e-99,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int34_2",84.806521756447,1.74048156192863e-102,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int24_3",84.6800215294338,1.53366701196585e-102,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"x3",84.1239215059805,8.79467722065156e-103,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int23_4",82.1098080468929,1.17354985344609e-103,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"x2",79.1989922899456,6.38778547407333e-105,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"null",62.3160656754588,2.97295582036182e-112,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"x4",53.6568129210987,5.1584920645545e-116,18,500,"medium",0.4472136,600218,"int12_3","int12_3",1
"int12_3",324.052368034657,0.99958317998264,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int12",316.269928899179,0.000416820017357671,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int123_4",290.052400128255,1.71324902364404e-15,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int124_3",288.263441394613,2.8634235114918e-16,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int12_4",276.364421539765,1.94628718717046e-21,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int13_2",236.209615886226,7.08266019877667e-39,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"main",235.656743729581,4.07461969020814e-39,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int23_1",235.276377650726,2.78545528040323e-39,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int13",227.724418471395,1.46258795074462e-42,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int34",226.628968783045,4.89073618004271e-43,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int14",226.608959513707,4.79384867916016e-43,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int23",226.532021530425,4.43885112620196e-43,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
"int24",226.103232788366,2.89101266985956e-43,19,500,"medium",0.4472136,600219,"int12_3","int12_3",1
