"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int14_3",-74.9908420985234,2.87327372119813e-27,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int34_1",-75.0390089896063,2.73815725103251e-27,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int34_2",-76.5724667323246,5.90862122124306e-28,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int23_4",-76.7970437000867,4.72012621893742e-28,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int24_3",-76.8204039177035,4.61114095903589e-28,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"full",-102.734994993554,2.56592816279279e-39,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"null",-17.5670315260977,0.999971643562423,3,50,"medium",0.4472136,150203,"int12_3","null",0
"x2",-28.0543367410383,2.78874561169718e-05,3,50,"medium",0.4472136,150203,"int12_3","null",0
"x3",-33.0985932524721,1.79769550157417e-07,3,50,"medium",0.4472136,150203,"int12_3","null",0
"x1",-33.2367375031958,1.56574432353586e-07,3,50,"medium",0.4472136,150203,"int12_3","null",0
"x4",-33.4026493293144,1.32637477941107e-07,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int12_3",-61.767733679559,6.36600013190401e-20,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int12_4",-63.15730966844,1.58628588241593e-20,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int13_2",-67.4941416985886,2.07452770668348e-22,3,50,"medium",0.4472136,150203,"int12_3","null",0
"main",-67.9010045889389,1.381086662901e-22,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int23_1",-67.9407359457247,1.32728999983076e-22,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int24_1",-68.9721092633977,4.73201466263225e-23,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int14_2",-69.5949753252431,2.53827567625162e-23,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int34_2",-74.6704251672402,1.585984463075e-25,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int24_3",-75.004743030982,1.13528924869047e-25,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int23_4",-75.0139778799031,1.12485328543601e-25,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int12",-77.0029884697563,1.5391450768099e-26,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int14_3",-79.7607396493376,9.76345295034733e-28,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int34_1",-79.874150136661,8.71665563649443e-28,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int13_4",-79.9466221377653,8.10728982492103e-28,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int13",-82.9181419425058,4.15299152344881e-29,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int24",-83.20196226803,3.12679524942937e-29,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int34",-83.3990107284852,2.56757054246563e-29,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int23",-83.4731693551311,2.38405188057925e-29,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int14",-83.5739346131186,2.15552918084289e-29,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int123_4",-119.512177728098,5.31830490601428e-45,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int124_3",-121.85646072151,5.10110266647786e-46,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int234_1",-126.77630598799,3.72393775597491e-48,3,50,"medium",0.4472136,150203,"int12_3","null",0
"int134_2",-129.257224492127,3.11568251394508e-49,3,50,"medium",0.4472136,150203,"int12_3","null",0
"full",-218.613197996119,4.86123906281882e-88,3,50,"medium",0.4472136,150203,"int12_3","null",0
"null",-16.1765638978395,0.999607480853214,4,50,"medium",0.4472136,150204,"int12_3","null",0
"x1",-24.0239629181655,0.000390613641159294,4,50,"medium",0.4472136,150204,"int12_3","null",0
"x3",-29.616879800749,1.45470344044944e-06,4,50,"medium",0.4472136,150204,"int12_3","null",0
"x2",-31.3384293794611,2.60084807135981e-07,4,50,"medium",0.4472136,150204,"int12_3","null",0
"x4",-31.6486445255045,1.90717373651459e-07,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int12_3",-48.9522679853682,5.82803393564778e-15,4,50,"medium",0.4472136,150204,"int12_3","null",0
"main",-57.8574138360272,7.90799467940636e-19,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int12_4",-58.3589039281978,4.7892994126853e-19,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int23_1",-58.8166370170874,3.03026796055075e-19,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int13_2",-59.2218087040011,2.02077149056998e-19,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int14_2",-63.4568889642999,2.92580392832825e-21,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int24_1",-63.4735336280346,2.87750795590542e-21,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int12",-64.2016261569728,1.38934456163189e-21,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int34_1",-65.8227383628117,2.74643850900787e-22,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int14_3",-66.5795848913991,1.2884738501534e-22,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int13_4",-66.5914035669432,1.27333543002148e-22,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int23",-72.8733534579115,2.38082048191979e-25,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int34",-73.0906765364586,1.91577471172712e-25,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int14",-73.5697936590379,1.18649664287004e-25,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int24",-73.5886833914069,1.16429439626124e-25,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int13",-73.5894828873218,1.16336391965337e-25,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int24_3",-74.8615068376608,3.26048801432671e-26,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int23_4",-75.3772679588937,1.9466613180445e-26,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int34_2",-75.4536857367026,1.80344366209738e-26,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int123_4",-109.195446443394,4.00167759120693e-41,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int124_3",-110.420156414374,1.17586459203445e-41,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int234_1",-118.995784059259,2.21824518723885e-45,4,50,"medium",0.4472136,150204,"int12_3","null",0
"int134_2",-119.640112268424,1.16461227206469e-45,4,50,"medium",0.4472136,150204,"int12_3","null",0
"full",-213.553343774548,1.90626441741067e-86,4,50,"medium",0.4472136,150204,"int12_3","null",0
"null",-17.9663951435813,0.982543147465621,5,50,"medium",0.4472136,150205,"int12_3","null",0
"x1",-22.0096760677094,0.0172336408097681,5,50,"medium",0.4472136,150205,"int12_3","null",0
"x3",-26.3590159511464,0.000222578251117124,5,50,"medium",0.4472136,150205,"int12_3","null",0
"x2",-32.4433609054444,5.07090280038357e-07,5,50,"medium",0.4472136,150205,"int12_3","null",0
"x4",-33.8327313585341,1.26383205093156e-07,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int12_3",-50.3321018169329,8.63184871167808e-15,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int13_2",-54.8750249174397,9.18623149865349e-17,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int23_1",-55.8340941600047,3.52061800664119e-17,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int13_4",-57.2672106465411,8.39893700422645e-18,5,50,"medium",0.4472136,150205,"int12_3","null",0
"main",-57.7313899247678,5.27999881084227e-18,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int14_3",-59.1399600616334,1.29092076571714e-18,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int34_1",-60.6257738159504,2.92158732873224e-19,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int12_4",-63.9819905054252,1.01866757857074e-20,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int12",-65.1596398568512,3.13751542066141e-21,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int14_2",-66.5915684785236,7.49388751851019e-22,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int24_1",-67.342426570033,3.53682559124538e-22,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int13",-70.1781033352192,2.07536683709287e-23,5,50,"medium",0.4472136,150205,"int12_3","null",0
"int14",-71.0512824205006,8.66718395537131e-24,5,50,"medium",0.4472136,150205,"int12_3","null",0
