"model","log_marginal","post_prob"
"null",-9.66410825321051,0.637085450554701
"x1",-10.2286546671843,0.362258258198237
"x3",-16.9856716675125,0.000421194893525822
"x4",-18.1079402799649,0.000137115967257477
"x2",-18.5320762152129,8.97197666566223e-05
"int12_3",-20.9240561918181,8.20473258458349e-06
"int12_4",-25.9975960195222,5.13634373390644e-08
"int23_1",-29.2753153357494,1.93712955645901e-09
"int12",-29.6021355678748,1.397083759504e-09
"int13_2",-30.4935637058735,5.72901715690392e-10
"main",-31.0094521220594,3.42005137873218e-10
"int14_2",-31.9839051376707,1.29072304115269e-10
"int14_3",-32.8968917728128,5.17997907259331e-11
"int34_1",-33.0597635976999,4.40142869371350e-11
"int24_1",-33.5518911319299,2.69070073804919e-11
"int13_4",-33.7910941714375,2.1182676694607e-11
"int14",-37.2373777212018,6.74961356639357e-13
"int23",-37.7924369117427,3.87453657955864e-13
"int34",-38.3959588106308,2.1189149982473e-13
"int24",-39.061161824228,1.08948068921263e-13
"int13",-39.1003633313855,1.04759770574521e-13
"int23_4",-41.7976081556522,7.05985847563484e-15
"int34_2",-42.2240038305554,4.60908488343753e-15
"int24_3",-42.3374974036822,4.11457586083236e-15
"int124_3",-55.4491102649704,8.31809659487862e-21
"int123_4",-55.4751853541727,8.10400484503928e-21
"int134_2",-60.1452641119286,7.59469360100747e-23
"int234_1",-61.2459100163208,2.52642153544043e-23
"full",-109.935804417934,1.80614807081895e-44
