"model","log_marginal","post_prob"
"x1",-9.87415362784004,0.503149162541781
"null",-9.88785673403896,0.496301480542092
"x4",-17.3935297331726,0.000272943781551769
"x2",-17.9931210831088,0.000149855949447537
"x3",-18.3277293911828,0.00010723966479177
"int12_3",-20.0636008812027,1.8900619467126e-05
"int23_1",-24.3874234392551,2.50416972504579e-07
"int13_2",-25.282106056886,1.02354758235027e-07
"int12_4",-26.1033959329464,4.50221650335481e-08
"main",-27.4510202728795,1.1699318413756e-08
"int12",-28.6895207546704,3.39067868385351e-09
"int24_1",-29.2332365430802,1.96858363009313e-09
"int14_2",-29.259529140767,1.91749896977639e-09
"int23",-32.9028273055493,5.01730902003431e-11
"int13",-33.5763858117849,2.55828019001009e-11
"int13_4",-33.6926427258851,2.27749992644311e-11
"int34_1",-34.3779611681244,1.14769992644496e-11
"int14_3",-34.8506528569941,7.15386864591763e-12
"int14",-35.2375057859967,4.85884303406325e-12
"int24",-35.320363989839,4.47247589550022e-12
"int34",-35.3479917123722,4.3506028615568e-12
"int34_2",-40.3742351922038,2.85548335646797e-14
"int23_4",-41.1945618816913,1.25723446672284e-14
"int24_3",-41.6523777452555,7.95406938841393e-15
"int234_1",-52.0971047633285,2.31473919944257e-19
"int123_4",-53.211729682688,7.59323104155065e-20
"int134_2",-54.562080820021,1.96778011197043e-20
"int124_3",-54.9610344174675,1.32042342703755e-20
"full",-107.006435321653,3.29369059640148e-43
