"model","log_marginal","post_prob"
"x2",-1.91566749367149,0.971670444232159
"null",-5.45318155787336,0.0282615615881076
"x3",-12.2233973065256,3.24286458693604e-05
"x4",-12.3823627861012,2.76624717566482e-05
"x1",-14.1501557591613,4.72224211568594e-06
"int12_3",-14.5755832219328,3.08593980694201e-06
"main",-18.9384750685743,3.93194646857877e-08
"int13_2",-19.6347041887238,1.95992355071465e-08
"int23_1",-19.850426016215,1.57961893923762e-08
"int12_4",-19.9343560783856,1.4524526032851e-08
"int24_1",-21.6682126002053,2.56506071589511e-09
"int12",-22.2290779020379,1.46391865054017e-09
"int24_3",-22.7364788961249,8.81364374454018e-10
"int14_2",-23.169718105092,5.71481392330038e-10
"int34_2",-25.3321329307969,6.57472008578484e-11
"int23_4",-26.0740663622062,3.13083134039016e-11
"int34",-26.8214844445931,1.48272333909056e-11
"int24",-26.8590998063751,1.42798609871296e-11
"int14",-26.9254540550365,1.33630839146769e-11
"int13",-27.2219430500267,9.93443473856243e-12
"int23",-27.2709706540851,9.45912017857129e-12
"int34_1",-34.1084933227818,1.01473438810379e-14
"int14_3",-34.2625506956945,8.69853492219429e-15
"int13_4",-34.695821644835,5.63999772754016e-15
"int124_3",-44.4449000138317,3.29084926120377e-19
"int123_4",-44.7329486575691,2.46723236357672e-19
"int234_1",-48.0163520598271,9.25222261684913e-21
"int134_2",-50.102085017994,1.14927446973812e-21
"full",-95.4056462045884,2.42849450644675e-41
