"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int134_2",-104.629294414384,1.30502940097839e-41,2,100,"small",0.1,200102,"int12_3","null",0
"full",-180.220093340056,1.93621437408085e-74,2,100,"small",0.1,200102,"int12_3","null",0
"null",-6.18784277738411,0.999985882451688,3,100,"small",0.1,200103,"int12_3","null",0
"x3",-18.2023034416938,6.05591679035343e-06,3,100,"small",0.1,200103,"int12_3","null",0
"x2",-18.5188715385949,4.41261585985443e-06,3,100,"small",0.1,200103,"int12_3","null",0
"x1",-18.782012209164,3.39168554431501e-06,3,100,"small",0.1,200103,"int12_3","null",0
"x4",-22.0015122531136,1.35582762005073e-07,3,100,"small",0.1,200103,"int12_3","null",0
"int12_3",-22.1091517230948,1.21746714209686e-07,3,100,"small",0.1,200103,"int12_3","null",0
"int12_4",-34.28709351771,6.26100897944194e-13,3,100,"small",0.1,200103,"int12_3","null",0
"int12",-38.0330758017229,1.478375958491e-14,3,100,"small",0.1,200103,"int12_3","null",0
"int13_2",-44.3716932569907,2.61191059859498e-17,3,100,"small",0.1,200103,"int12_3","null",0
"int23_1",-45.5250453158199,8.24259332083844e-18,3,100,"small",0.1,200103,"int12_3","null",0
"main",-46.555100605808,2.94250049336524e-18,3,100,"small",0.1,200103,"int12_3","null",0
"int24_1",-53.2936108164041,3.48512808305448e-21,3,100,"small",0.1,200103,"int12_3","null",0
"int14_2",-53.6265572106775,2.49816984536895e-21,3,100,"small",0.1,200103,"int12_3","null",0
"int34_2",-59.9245946521004,4.59641310477571e-24,3,100,"small",0.1,200103,"int12_3","null",0
"int13",-60.2996423454788,3.15891478489552e-24,3,100,"small",0.1,200103,"int12_3","null",0
"int23_4",-60.3617815768341,2.96859659665223e-24,3,100,"small",0.1,200103,"int12_3","null",0
"int24_3",-60.9389620206806,1.6668054176863e-24,3,100,"small",0.1,200103,"int12_3","null",0
"int34_1",-61.1644056759134,1.33038079818707e-24,3,100,"small",0.1,200103,"int12_3","null",0
"int34",-61.2108356751141,1.27002326154404e-24,3,100,"small",0.1,200103,"int12_3","null",0
"int23",-61.4548193817393,9.95063733460219e-25,3,100,"small",0.1,200103,"int12_3","null",0
"int14_3",-61.8422437414603,6.75452224732926e-25,3,100,"small",0.1,200103,"int12_3","null",0
"int24",-61.9033294612802,6.35426679392003e-25,3,100,"small",0.1,200103,"int12_3","null",0
"int14",-62.0841684541606,5.30307865611992e-25,3,100,"small",0.1,200103,"int12_3","null",0
"int13_4",-62.110439011085,5.16557784567832e-25,3,100,"small",0.1,200103,"int12_3","null",0
"int123_4",-83.2151361116579,3.52748696637355e-34,3,100,"small",0.1,200103,"int12_3","null",0
"int124_3",-84.2034126206279,1.3129929171524e-34,3,100,"small",0.1,200103,"int12_3","null",0
"int134_2",-104.390101715641,2.24540508313485e-43,3,100,"small",0.1,200103,"int12_3","null",0
"int234_1",-106.871984812654,1.87683704821487e-44,3,100,"small",0.1,200103,"int12_3","null",0
"full",-186.798694091586,3.64500200190401e-79,3,100,"small",0.1,200103,"int12_3","null",0
"null",-10.1125677992996,0.50302101460479,4,100,"small",0.1,200104,"int12_3","null",0
"int12_3",-10.1286681473786,0.494987049542683,4,100,"small",0.1,200104,"int12_3","null",0
"x2",-15.9163816933102,0.00151712645236023,4,100,"small",0.1,200104,"int12_3","null",0
"x1",-17.1318797965052,0.00044992244773329,4,100,"small",0.1,200104,"int12_3","null",0
"int12_4",-20.2185482713644,2.05406685916269e-05,4,100,"small",0.1,200104,"int12_3","null",0
"x4",-21.9392265663615,3.67564438328889e-06,4,100,"small",0.1,200104,"int12_3","null",0
"x3",-23.7568386072073,5.96972887520039e-07,4,100,"small",0.1,200104,"int12_3","null",0
"int12",-25.8588375719419,7.29571828733546e-08,4,100,"small",0.1,200104,"int12_3","null",0
"main",-31.0906531048028,3.89869660417988e-10,4,100,"small",0.1,200104,"int12_3","null",0
"int13_2",-31.8378101434907,1.84685696151274e-10,4,100,"small",0.1,200104,"int12_3","null",0
"int23_1",-32.1539403012472,1.34629327898173e-10,4,100,"small",0.1,200104,"int12_3","null",0
"int24_1",-38.9280123947087,1.53885445971237e-13,4,100,"small",0.1,200104,"int12_3","null",0
"int14_2",-40.0668803524044,4.92712383693851e-14,4,100,"small",0.1,200104,"int12_3","null",0
"int24",-45.2087902963131,2.88064912585949e-16,4,100,"small",0.1,200104,"int12_3","null",0
"int23",-46.0582443495719,1.23190482096383e-16,4,100,"small",0.1,200104,"int12_3","null",0
"int13",-46.2520281548697,1.01488753268499e-16,4,100,"small",0.1,200104,"int12_3","null",0
"int14",-46.4125978671301,8.64337543484512e-17,4,100,"small",0.1,200104,"int12_3","null",0
"int34",-46.7943267403022,5.90066058780812e-17,4,100,"small",0.1,200104,"int12_3","null",0
"int24_3",-51.2768029724688,6.67092320905045e-19,4,100,"small",0.1,200104,"int12_3","null",0
"int34_2",-54.0114313798532,4.33063831544125e-20,4,100,"small",0.1,200104,"int12_3","null",0
"int14_3",-54.7861031613466,1.99579639588611e-20,4,100,"small",0.1,200104,"int12_3","null",0
"int23_4",-54.9916876805404,1.62492010338192e-20,4,100,"small",0.1,200104,"int12_3","null",0
"int34_1",-57.9898938525464,8.10452592176083e-22,4,100,"small",0.1,200104,"int12_3","null",0
"int13_4",-58.0943791819249,7.30045979674974e-22,4,100,"small",0.1,200104,"int12_3","null",0
