"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int23_4",-32.5016339690229,1.01973602282082e-12,2,50,"big",0.7071068,150302,"int12_3","x1",0
"int123_4",-43.784611612891,1.28337280172222e-17,2,50,"big",0.7071068,150302,"int12_3","x1",0
"int124_3",-46.8408359049851,6.04020231738398e-19,2,50,"big",0.7071068,150302,"int12_3","x1",0
"int134_2",-48.3836726883487,1.29123706538902e-19,2,50,"big",0.7071068,150302,"int12_3","x1",0
"int234_1",-48.8225988483289,8.32497187341187e-20,2,50,"big",0.7071068,150302,"int12_3","x1",0
"full",-96.7400939331494,1.28848412737777e-40,2,50,"big",0.7071068,150302,"int12_3","x1",0
"null",-3.23592458431439,0.539419927540967,3,50,"big",0.7071068,150303,"int12_3","null",0
"x3",-3.82509110964863,0.299264509234611,3,50,"big",0.7071068,150303,"int12_3","null",0
"main",-5.00053361877025,0.0923776733897894,3,50,"big",0.7071068,150303,"int12_3","null",0
"x1",-5.60277860222659,0.0505842536924029,3,50,"big",0.7071068,150303,"int12_3","null",0
"int12_3",-7.59124251756105,0.00692526570769097,3,50,"big",0.7071068,150303,"int12_3","null",0
"x4",-7.94625119159519,0.00485577028209607,3,50,"big",0.7071068,150303,"int12_3","null",0
"int13_2",-8.58291029309343,0.00256897926059514,3,50,"big",0.7071068,150303,"int12_3","null",0
"int23_1",-8.77982874990117,0.00210979373827752,3,50,"big",0.7071068,150303,"int12_3","null",0
"x2",-9.08953215387091,0.00154788082283189,3,50,"big",0.7071068,150303,"int12_3","null",0
"int13",-12.0361600296032,8.12892830140236e-05,3,50,"big",0.7071068,150303,"int12_3","null",0
"int14",-12.3936767785979,5.68546174551248e-05,3,50,"big",0.7071068,150303,"int12_3","null",0
"int14_2",-12.4270851450086,5.49865754225824e-05,3,50,"big",0.7071068,150303,"int12_3","null",0
"int12",-12.6648218274681,4.33519805562083e-05,3,50,"big",0.7071068,150303,"int12_3","null",0
"int34",-12.7443325882314,4.00385055166239e-05,3,50,"big",0.7071068,150303,"int12_3","null",0
"int23",-13.0649137390816,2.90570308008524e-05,3,50,"big",0.7071068,150303,"int12_3","null",0
"int24",-13.602739563379,1.6969789142221e-05,3,50,"big",0.7071068,150303,"int12_3","null",0
"int12_4",-13.6483779265014,1.62127227787602e-05,3,50,"big",0.7071068,150303,"int12_3","null",0
"int24_1",-14.4931535413026,6.96585722615833e-06,3,50,"big",0.7071068,150303,"int12_3","null",0
"int34_2",-18.606231850889,1.13942922742403e-07,3,50,"big",0.7071068,150303,"int12_3","null",0
"int14_3",-19.4155594054596,5.07225249356764e-08,3,50,"big",0.7071068,150303,"int12_3","null",0
"int13_4",-20.4128433546725,1.87105239106449e-08,3,50,"big",0.7071068,150303,"int12_3","null",0
"int34_1",-20.6886879741618,1.41999937155829e-08,3,50,"big",0.7071068,150303,"int12_3","null",0
"int23_4",-20.8103451065865,1.25734115462565e-08,3,50,"big",0.7071068,150303,"int12_3","null",0
"int24_3",-21.0575690614794,9.81940406544374e-09,3,50,"big",0.7071068,150303,"int12_3","null",0
"int234_1",-34.039517911474,2.25993725517185e-14,3,50,"big",0.7071068,150303,"int12_3","null",0
"int134_2",-34.4278715761992,1.53262719687377e-14,3,50,"big",0.7071068,150303,"int12_3","null",0
"int124_3",-35.4743564516119,5.38212674894858e-15,3,50,"big",0.7071068,150303,"int12_3","null",0
"int123_4",-36.8258100418501,1.39323727251174e-15,3,50,"big",0.7071068,150303,"int12_3","null",0
"full",-81.4267220063961,5.94422350001615e-35,3,50,"big",0.7071068,150303,"int12_3","null",0
"x2",72.4268977174595,0.631266167442204,4,50,"big",0.7071068,150304,"int12_3","x2",0
"null",71.8414914645564,0.351539239395988,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int12_3",68.5654008574782,0.0132796226942871,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int12_4",66.5904916459005,0.0018428651743776,4,50,"big",0.7071068,150304,"int12_3","x2",0
"x1",65.7891722908979,0.000826960924716723,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int23_1",65.42816821163,0.000576372045899528,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int24_1",64.1708394150596,0.000163927551100007,4,50,"big",0.7071068,150304,"int12_3","x2",0
"x4",64.1679149751482,0.000163448855126953,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int14_2",63.7586933109533,0.00010855733477621,4,50,"big",0.7071068,150304,"int12_3","x2",0
"x3",63.7293644678835,0.000105419710098589,4,50,"big",0.7071068,150304,"int12_3","x2",0
"main",63.3585617612922,7.27585856478306e-05,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int13_2",63.0048402074734,5.10816514371147e-05,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int12",60.2490754707178,3.24676989706563e-06,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int23",57.4185321926683,1.91497092401654e-07,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int34",56.0619619320237,4.93186529059014e-08,4,50,"big",0.7071068,150304,"int12_3","x2",0
"int24",55.9422122291836,4.37526709724774e-08,4,50,"big",0.7071068,150304,"int12_3","x2",0
