"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"null",86.0782894733025,1.42621481927413e-108,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"int24_3",82.746781069233,5.09717129194259e-110,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"int34_2",80.3421568715939,4.60271631543539e-111,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"int23_4",79.2559492370889,1.55338900361921e-111,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"x4",77.0204231229451,1.66112980605318e-112,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"int12_3",416.375901212612,0.999030757786544,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int12",409.437849336261,0.000969217426797221,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int12_4",398.863910566921,2.47866568719229e-08,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int124_3",382.429462368005,1.80645766781675e-15,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int123_4",381.043658803796,4.51836122316634e-16,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"full",318.395988220955,2.80183986170011e-43,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"main",269.599248835148,1.80006695588223e-64,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int24",262.700894825054,1.81706966765263e-67,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int23_1",262.304626377815,1.22257181323169e-67,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int13_2",262.289655457604,1.20440511357418e-67,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int14",261.928798952969,8.39565534927011e-68,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int24_1",261.504093349491,5.49044192281918e-68,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int34",260.79317563061,2.69686781033358e-68,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int14_2",260.531593057121,2.0761359628708e-68,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int13",260.153318599183,1.42224128630632e-68,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int23",260.11430878994,1.36782814825723e-68,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int234_1",235.937800776465,4.32820193450052e-79,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int134_2",235.422807021926,2.58611938094922e-79,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"x1",168.310459651435,1.8455526463329e-108,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"x2",159.993449156553,4.50914991593252e-112,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int13_4",157.186412631413,2.72279034035118e-113,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int34_1",155.592777137796,5.53231754851588e-114,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int14_3",155.195449489541,3.71834681901506e-114,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int24_3",149.711615070425,1.5443682590179e-116,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int34_2",146.588167876554,6.79602528930525e-118,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"int23_4",145.657243169856,2.67891863396902e-118,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"null",138.818349408551,2.86989296883293e-121,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"x3",137.965519985613,1.22316934383047e-121,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
"x4",134.408791806192,3.48994968643116e-123,35,500,"big",0.7071068,600335,"int12_3","int12_3",1
